t,container,cpu_pct,mem_mb
1785941709.42,01KZ96PV88NG8G00GZJ000000G,0.0,12.62109375
1785941709.42,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.42,01KZ96PV85NG8G00GZJ000000C,0.0,12.625
1785941709.42,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.42,01KZ96PN4VNG8G00GZJ0000005,0.0,12.609375
1785941709.42,fnserver,0.0,40.78125
1785941709.43,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.43,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.43,01KZ96Q5ESNG8G00GZJ00001YH,0.0,12.59375
1785941709.43,01KZ96Q3TTNG8G00GZJ00000FH,0.0,12.58984375
1785941709.43,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.43,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.43,01KZ96Q3FENG8G00GZJ000005P,0.0,12.58203125
1785941709.43,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.43,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.43,01KZ96Q3FANG8G00GZJ000005J,0.0,12.59375
1785941709.43,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.43,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.43,01KZ96Q3FANG8G00GZJ000005M,0.0,12.59765625
1785941709.43,01KZ96Q14SNG8G00GZJ000004H,0.0,12.61328125
1785941709.43,01KZ96PV8MNG8G00GZJ000000T,0.0,12.6171875
1785941709.43,01KZ96PV8DNG8G00GZJ000000R,0.0,12.60546875
1785941709.43,01KZ96PV8BNG8G00GZJ000000P,0.0,12.609375
1785941709.43,01KZ96PV88NG8G00GZJ000000J,0.0,12.61328125
1785941709.43,01KZ96PV8BNG8G00GZJ000000N,0.0,12.85546875
1785941709.43,01KZ96PV88NG8G00GZJ000000G,0.0,12.62109375
1785941709.43,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.43,01KZ96PV85NG8G00GZJ000000C,0.0,12.625
1785941709.43,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.43,01KZ96PN4VNG8G00GZJ0000005,0.0,12.609375
1785941709.43,fnserver,0.5991862857119501,40.78125
1785941709.44,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.44,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.44,01KZ96Q5ESNG8G00GZJ00001YH,0.0,12.59375
1785941709.44,01KZ96Q3TTNG8G00GZJ00000FH,0.0,12.58984375
1785941709.44,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.44,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.44,01KZ96Q3FENG8G00GZJ000005P,0.0,12.58203125
1785941709.44,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.44,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.44,01KZ96Q3FANG8G00GZJ000005J,0.0,12.59375
1785941709.44,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.44,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.44,01KZ96Q3FANG8G00GZJ000005M,0.0,12.59765625
1785941709.44,01KZ96Q14SNG8G00GZJ000004H,0.0,12.61328125
1785941709.44,01KZ96PV8MNG8G00GZJ000000T,0.0,12.6171875
1785941709.44,01KZ96PV8DNG8G00GZJ000000R,0.0,12.60546875
1785941709.44,01KZ96PV8BNG8G00GZJ000000P,0.0,12.609375
1785941709.44,01KZ96PV88NG8G00GZJ000000J,0.0,12.61328125
1785941709.44,01KZ96PV8BNG8G00GZJ000000N,0.0,12.85546875
1785941709.44,01KZ96PV88NG8G00GZJ000000G,0.0,12.62109375
1785941709.44,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.44,01KZ96PV85NG8G00GZJ000000C,0.0,12.625
1785941709.44,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.44,01KZ96PN4VNG8G00GZJ0000005,0.0,12.609375
1785941709.44,fnserver,0.0,40.78125
1785941709.45,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.45,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.45,01KZ96Q5ESNG8G00GZJ00001YH,0.0,12.59375
1785941709.45,01KZ96Q3TTNG8G00GZJ00000FH,0.0,12.58984375
1785941709.45,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.45,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.45,01KZ96Q3FENG8G00GZJ000005P,0.0,12.58203125
1785941709.45,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.45,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.45,01KZ96Q3FANG8G00GZJ000005J,0.0,12.59375
1785941709.45,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.45,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.45,01KZ96Q3FANG8G00GZJ000005M,0.0,12.59765625
1785941709.45,01KZ96Q14SNG8G00GZJ000004H,0.0,12.61328125
1785941709.45,01KZ96PV8MNG8G00GZJ000000T,0.0,12.6171875
1785941709.45,01KZ96PV8DNG8G00GZJ000000R,0.0,12.60546875
1785941709.45,01KZ96PV8BNG8G00GZJ000000P,0.0,12.609375
1785941709.45,01KZ96PV88NG8G00GZJ000000J,0.0,12.61328125
1785941709.45,01KZ96PV8BNG8G00GZJ000000N,0.0,12.85546875
1785941709.45,01KZ96PV88NG8G00GZJ000000G,0.0,12.62109375
1785941709.45,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.45,01KZ96PV85NG8G00GZJ000000C,0.0,12.625
1785941709.45,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.45,01KZ96PN4VNG8G00GZJ0000005,0.0,12.609375
1785941709.45,fnserver,0.0,40.78125
1785941709.46,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.46,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.46,01KZ96Q5ESNG8G00GZJ00001YH,0.0,12.59375
1785941709.46,01KZ96Q3TTNG8G00GZJ00000FH,0.0,12.58984375
1785941709.46,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.46,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.46,01KZ96Q3FENG8G00GZJ000005P,0.0,12.58203125
1785941709.46,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.46,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.46,01KZ96Q3FANG8G00GZJ000005J,0.0,12.59375
1785941709.46,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.46,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.46,01KZ96Q3FANG8G00GZJ000005M,0.0,12.59765625
1785941709.46,01KZ96Q14SNG8G00GZJ000004H,0.0,12.61328125
1785941709.46,01KZ96PV8MNG8G00GZJ000000T,0.0,12.6171875
1785941709.46,01KZ96PV8DNG8G00GZJ000000R,0.0,12.60546875
1785941709.46,01KZ96PV8BNG8G00GZJ000000P,0.0,12.609375
1785941709.46,01KZ96PV88NG8G00GZJ000000J,0.0,12.61328125
1785941709.46,01KZ96PV8BNG8G00GZJ000000N,0.0,12.85546875
1785941709.46,01KZ96PV88NG8G00GZJ000000G,0.0,12.62109375
1785941709.46,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.46,01KZ96PV85NG8G00GZJ000000C,0.0,12.625
1785941709.46,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.46,01KZ96PN4VNG8G00GZJ0000005,0.0,12.609375
1785941709.46,fnserver,60.411856345895046,41.27734375
1785941709.48,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.48,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.48,01KZ96Q5ESNG8G00GZJ00001YH,0.0,12.59375
1785941709.48,01KZ96Q3TTNG8G00GZJ00000FH,0.0,12.58984375
1785941709.48,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.48,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.48,01KZ96Q3FENG8G00GZJ000005P,31.235670319058595,12.83203125
1785941709.48,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.48,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.48,01KZ96Q3FANG8G00GZJ000005J,34.4994473424211,12.84765625
1785941709.48,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.48,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.48,01KZ96Q3FANG8G00GZJ000005M,13.997630813800974,12.84765625
1785941709.48,01KZ96Q14SNG8G00GZJ000004H,0.0,12.61328125
1785941709.48,01KZ96PV8MNG8G00GZJ000000T,0.0,12.6171875
1785941709.48,01KZ96PV8DNG8G00GZJ000000R,0.0,12.60546875
1785941709.48,01KZ96PV8BNG8G00GZJ000000P,26.982633911526506,12.859375
1785941709.48,01KZ96PV88NG8G00GZJ000000J,2.6562003937130942,12.86328125
1785941709.48,01KZ96PV8BNG8G00GZJ000000N,0.0,12.60546875
1785941709.48,01KZ96PV88NG8G00GZJ000000G,41.953945221555195,12.87109375
1785941709.48,01KZ96PV87NG8G00GZJ000000F,0.0,12.60546875
1785941709.48,01KZ96PV85NG8G00GZJ000000C,12.431952575865694,12.875
1785941709.48,01KZ96PV85NG8G00GZJ000000A,0.0,12.59375
1785941709.48,01KZ96PN4VNG8G00GZJ0000005,0.9035755005031985,12.609375
1785941709.48,fnserver,23.017806930877263,41.03515625
1785941709.49,01KZ96QBANNG8G00GZJ0000569,0.0,12.41796875
1785941709.49,01KZ96QBAPNG8G00GZJ000056B,0.0,12.40234375
1785941709.49,01KZ96Q5ESNG8G00GZJ00001YH,24.554872366960986,12.59765625
1785941709.49,01KZ96Q3TTNG8G00GZJ00000FH,50.150851008011266,12.83984375
1785941709.49,01KZ96Q3FKNG8G00GZJ000005T,0.0,12.59375
1785941709.49,01KZ96Q3FJNG8G00GZJ000005R,0.0,12.61328125
1785941709.49,01KZ96Q3FENG8G00GZJ000005P,1.9383198111116293,12.83203125
1785941709.49,01KZ96Q3F9NG8G00GZJ000005D,0.0,12.6015625
1785941709.49,01KZ96Q3F9NG8G00GZJ000005G,0.0,12.60546875
1785941709.49,01KZ96Q3FANG8G00GZJ000005J,0.0,12.59375
1785941709.49,01KZ96Q3F9NG8G00GZJ000005A,0.0,12.60546875
1785941709.49,01KZ96Q3F9NG8G00GZJ000005F,0.0,12.59375
1785941709.49,01KZ96Q3FANG8G00GZJ000005M,29.345654083507473,12.84765625
